ths_code,industry,n_fetched,n_rise,n_total,capped,n_true
881121,半导体,100,33.0,151.0,1,184.0
881273,白酒,19,18.0,1.0,0,19.0
881131,白色家电,44,21.0,22.0,0,43.0
881156,保险,5,0.0,5.0,0,5.0
881138,包装印刷,46,32.0,14.0,0,46.0
881174,厨卫电器,9,6.0,2.0,0,8.0
881281,电池,100,40.0,65.0,1,105.0
881277,电机,26,12.0,14.0,0,26.0
881145,电力,100,56.0,49.0,1,105.0
881278,电网设备,100,71.0,64.0,1,135.0
881283,多元金融,26,7.0,18.0,0,25.0
881172,电子化学品,43,10.0,33.0,0,43.0
881153,房地产,88,64.0,22.0,0,86.0
881280,风电设备,31,14.0,16.0,0,30.0
881167,非金属材料,16,9.0,7.0,0,16.0
881136,服装家纺,75,61.0,14.0,0,75.0
881135,纺织制造,33,22.0,11.0,0,33.0
881268,工程机械,36,14.0,22.0,0,36.0
881279,光伏设备,72,48.0,24.0,0,72.0
881169,贵金属,14,11.0,3.0,0,14.0
881269,轨交设备,30,20.0,8.0,0,28.0
881148,港口航运,36,29.0,4.0,0,33.0
881149,公路铁路运输,32,23.0,4.0,0,27.0
881112,钢铁,43,39.0,3.0,0,42.0
881122,光学光电子,100,39.0,65.0,1,104.0
881168,工业金属,55,39.0,13.0,0,52.0
881284,环保设备,30,15.0,14.0,0,29.0
881181,环境治理,100,68.0,39.0,1,107.0
881177,互联网电商,20,10.0,7.0,0,17.0
881132,黑色家电,9,2.0,7.0,0,9.0
881264,化学纤维,29,22.0,6.0,0,28.0
881108,化学原料,59,52.0,5.0,0,57.0
881109,化学制品,100,136.0,44.0,1,180.0
881140,化学制药,100,53.0,102.0,1,155.0
881271,IT服务,100,63.0,61.0,1,124.0
881151,机场航运,13,12.0,1.0,0,13.0
881276,军工电子,61,28.0,33.0,0,61.0
881166,军工装备,82,49.0,30.0,0,79.0
881139,家居用品,99,67.0,31.0,0,98.0
881130,计算机设备,83,33.0,49.0,0,82.0
881114,金属新材料,34,13.0,20.0,0,33.0
881178,教育,15,9.0,4.0,0,13.0
881115,建筑材料,73,58.0,15.0,0,73.0
881116,建筑装饰,100,105.0,29.0,1,134.0
881158,零售,71,62.0,8.0,0,70.0
881160,旅游及酒店,35,33.0,2.0,0,35.0
881182,美容护理,34,21.0,13.0,0,34.0
881105,煤炭开采加工,34,23.0,10.0,0,33.0
881159,贸易,14,13.0,1.0,0,14.0
881103,农产品加工,43,39.0,4.0,0,43.0
881263,农化制品,61,56.0,5.0,0,61.0
881267,能源金属,13,8.0,5.0,0,13.0
881128,汽车服务及其他,26,15.0,11.0,0,26.0
881126,汽车零部件,100,132.0,136.0,1,268.0
881125,汽车整车,23,17.0,5.0,0,22.0
881282,其他电源设备,35,12.0,22.0,0,34.0
881123,其他电子,34,8.0,24.0,0,32.0
881179,其他社会服务,42,24.0,16.0,0,40.0
881272,软件开发,100,85.0,51.0,1,136.0
881146,燃气,27,21.0,6.0,0,27.0
881265,塑料制品,77,42.0,35.0,0,77.0
881134,食品加工制造,66,52.0,12.0,0,64.0
881142,生物制品,55,5.0,48.0,0,53.0
881180,石油加工贸易,27,27.0,0.0,0,27.0
881162,通信服务,44,14.0,29.0,0,43.0
881129,通信设备,91,23.0,68.0,0,91.0
881117,通用设备,100,112.0,135.0,1,247.0
881164,文化传媒,84,58.0,20.0,0,78.0
881152,物流,50,38.0,11.0,0,49.0
881124,消费电子,96,37.0,57.0,0,94.0
881173,小家电,26,14.0,11.0,0,25.0
881170,小金属,29,11.0,18.0,0,29.0
881266,橡胶制品,22,13.0,9.0,0,22.0
881270,元件,63,21.0,41.0,0,62.0
881175,医疗服务,56,5.0,51.0,0,56.0
881144,医疗器械,100,55.0,81.0,1,136.0
881133,饮料制造,47,39.0,7.0,0,46.0
881107,油气开采及服务,19,14.0,4.0,0,18.0
881274,影视院线,20,8.0,7.0,0,15.0
881275,游戏,24,13.0,9.0,0,22.0
881155,银行,42,12.0,25.0,0,37.0
881143,医药商业,32,16.0,15.0,0,31.0
881102,养殖业,36,27.0,6.0,0,33.0
881171,自动化设备,99,33.0,63.0,0,96.0
881165,综合,18,11.0,6.0,0,17.0
881157,证券,50,14.0,32.0,0,46.0
881141,中药,68,38.0,29.0,0,67.0
881118,专用设备,100,117.0,81.0,1,198.0
881137,造纸,24,18.0,5.0,0,23.0
881101,种植业与林业,30,24.0,5.0,0,29.0
